"_messagetimems","_messagetime","_","duration","ip","revProxyPath","_raw","cluster","_collector","container","deployment","host","_view","log.level","log.msg","log.time","namespace","node","pod","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","19.328129ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 19.328129ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 19.328129ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","9.557272ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 9.557272ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 9.557272ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","203","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","79.4179ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 79.4179ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 79.4179ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","202","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","8.65725ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 8.65725ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 8.65725ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","202","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","8.946295ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 8.946295ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 8.946295ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","203","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","56.115726ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 56.115726ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 56.115726ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","55.715864ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 55.715864ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 55.715864ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","10.841841ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.841841ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.841841ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","10.916364ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.916364ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.916364ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","14.596042ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 14.596042ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 14.596042ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
